respondent,gender,region,important,prefer_comma,heard_comma,care_comma,write_following,data_noun,care_data,care_grammar,age,income,education
511,Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,29,55914,Graduate degree
512,Male,Pacific,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,46,39370,Bachelor degree
513,Male,West South Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,31,41192,Some college or Associate degree
514,Male,New England,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,57,61183,Bachelor degree
515,not Male,Pacific,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,23,52034,Some college or Associate degree
516,not Male,South Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,18,100514,Graduate degree
517,Male,East South Central,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,29,95283,Bachelor degree
518,Male,Mountain,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,19,113648,Bachelor degree
519,not Male,New England,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,26,115273,Bachelor degree
520,Male,New England,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,25,161705,Bachelor degree
521,Male,South Atlantic,Yes,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,47,174184,Graduate degree
522,Male,Mountain,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,21,34370,Bachelor degree
523,not Male,East North Central,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,35,115300,Graduate degree
524,Male,East North Central,Yes,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,26,105856,Some college or Associate degree
525,Male,South Atlantic,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,22,119669,High school degree
526,Male,East North Central,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,22,38544,High school degree
527,Male,South Atlantic,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,49,192653,Bachelor degree
528,Male,New England,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,52,95871,Graduate degree
529,not Male,Middle Atlantic,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,18,49151,Some college or Associate degree
530,not Male,East North Central,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,24,55952,High school degree
531,Male,West South Central,Yes,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,51,86414,Graduate degree
532,not Male,New England,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,36,177349,Graduate degree
533,not Male,Pacific,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,24,94075,Some college or Associate degree
534,not Male,West North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,22,78745,Bachelor degree
535,not Male,Pacific,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,23,195508,Bachelor degree
536,not Male,South Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,20,168010,Graduate degree
537,Male,East North Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,32,21452,Bachelor degree
538,not Male,South Atlantic,No,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,25,79332,Bachelor degree
539,not Male,Middle Atlantic,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,21,49997,Some college or Associate degree
540,Male,East North Central,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,20,56839,Some college or Associate degree
541,not Male,West North Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,33,82772,Graduate degree
542,not Male,Pacific,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,18,24866,Bachelor degree
543,not Male,West North Central,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,58,38518,Graduate degree
544,not Male,Middle Atlantic,Yes,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,25,57568,Bachelor degree
545,Male,South Atlantic,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,24,86964,Bachelor degree
546,Male,New England,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,46,119152,Bachelor degree
547,Male,Mountain,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,18,119396,Graduate degree
548,not Male,Mountain,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,24,26070,Graduate degree
549,not Male,West South Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,29,66485,Graduate degree
550,Male,West South Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,38,96562,Graduate degree
551,not Male,Pacific,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,58,84613,Bachelor degree
552,Male,Middle Atlantic,Yes,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,25,48533,Some college or Associate degree
553,Male,East South Central,No,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,30,81339,Bachelor degree
554,Male,Mountain,No,No,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,27,82103,Graduate degree
555,Male,West South Central,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,46,75418,Some college or Associate degree
556,Male,East South Central,No,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,51,109132,Bachelor degree
557,not Male,New England,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,42,29806,Bachelor degree
558,Male,Mountain,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,23,90262,Some college or Associate degree
559,not Male,South Atlantic,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,59,96567,Some college or Associate degree
560,not Male,Middle Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,22,58354,Graduate degree
561,not Male,West South Central,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,25,79805,Some college or Associate degree
562,Male,South Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,20,61708,Graduate degree
563,Male,Middle Atlantic,No,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,27,166010,Graduate degree
564,Male,West South Central,Yes,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,32,21124,Some college or Associate degree
565,not Male,New England,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,52,122336,Some college or Associate degree
566,not Male,Mountain,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,21,23028,Some college or Associate degree
567,Male,South Atlantic,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very unimportant,53,53517,Graduate degree
568,Male,Pacific,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,56,59784,Graduate degree
569,Male,Middle Atlantic,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,25,102907,Bachelor degree
570,Male,Mountain,No,No,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,51,149112,Graduate degree
571,Male,Middle Atlantic,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,56,123175,Graduate degree
572,not Male,East South Central,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,20,86646,Graduate degree
573,Male,Middle Atlantic,Yes,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,28,53389,Bachelor degree
574,not Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,37,21141,Less than high school degree
575,Male,Middle Atlantic,Yes,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,18,75089,Bachelor degree
576,Male,South Atlantic,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,58,54324,Bachelor degree
577,Male,Middle Atlantic,Yes,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,52,24696,High school degree
578,Male,Mountain,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,39,147304,Bachelor degree
579,Male,Middle Atlantic,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,32,88211,Bachelor degree
580,Male,South Atlantic,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,54,81650,NA
581,not Male,Pacific,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,26,100658,High school degree
582,not Male,New England,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,26,125194,Graduate degree
583,Male,Middle Atlantic,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,19,18125,High school degree
584,not Male,South Atlantic,Yes,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,25,80291,Some college or Associate degree
585,not Male,Pacific,No,No,No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,22,20789,Some college or Associate degree
586,not Male,South Atlantic,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,52,46137,High school degree
587,Male,West South Central,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,31,60529,Bachelor degree
588,Male,Pacific,No,No,No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Neutral,44,105760,Bachelor degree
589,Male,South Atlantic,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,20,68332,Bachelor degree
590,not Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,25,44913,Some college or Associate degree
591,Male,West South Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,34,34124,Bachelor degree
592,Male,South Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,19,20816,Bachelor degree
593,not Male,Middle Atlantic,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,20,41212,Some college or Associate degree
594,not Male,East North Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,53,128405,Bachelor degree
595,Male,West South Central,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,28,108708,Bachelor degree
596,not Male,West North Central,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,39,76695,High school degree
597,Male,South Atlantic,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,24,97971,High school degree
598,Male,Mountain,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,48,46284,Graduate degree
599,Male,East South Central,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,53,71532,Bachelor degree
600,not Male,New England,No,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,58,92229,Bachelor degree
601,Male,West South Central,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,54,87368,Some college or Associate degree
602,Male,New England,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,58,58380,Some college or Associate degree
603,Male,Pacific,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,48,62186,Bachelor degree
604,Male,West North Central,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,58,184451,Bachelor degree
605,not Male,New England,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,54,67569,Graduate degree
606,Male,West South Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,23,195491,Some college or Associate degree
607,not Male,South Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,20,172768,Graduate degree
608,Male,East South Central,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,55,96359,Graduate degree
609,not Male,East North Central,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,40,70735,Some college or Associate degree
610,not Male,East North Central,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,32,22466,Bachelor degree
611,not Male,East North Central,No,No,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,26,88155,Some college or Associate degree
612,not Male,Mountain,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,19,57586,Bachelor degree
613,not Male,East North Central,No,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,29,23798,Graduate degree
614,Male,South Atlantic,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,21,57423,Bachelor degree
615,not Male,South Atlantic,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,27,142246,Bachelor degree
616,Male,East North Central,Yes,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,21,173951,Graduate degree
617,Male,South Atlantic,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,34,109639,Graduate degree
618,Male,New England,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,24,113852,Bachelor degree
619,not Male,Mountain,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,51,68270,Some college or Associate degree
620,Male,Middle Atlantic,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,28,144741,Bachelor degree
621,not Male,East North Central,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,48,21472,Some college or Associate degree
622,Male,South Atlantic,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,58,19315,High school degree
623,Male,South Atlantic,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,23,124942,Bachelor degree
624,not Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,54,98659,Some college or Associate degree
625,not Male,Pacific,Yes,No,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,25,23632,Graduate degree
626,Male,South Atlantic,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,28,21340,High school degree
627,Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,24,72171,Some college or Associate degree
628,Male,East North Central,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,28,144310,Bachelor degree
629,Male,Mountain,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,20,60312,NA
630,Male,Pacific,Yes,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,31,130112,High school degree
631,not Male,New England,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,22,24547,Bachelor degree
632,Male,Middle Atlantic,No,No,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,31,86107,Some college or Associate degree
633,Male,South Atlantic,Yes,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,25,65573,High school degree
634,not Male,Middle Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,58,53864,Graduate degree
635,not Male,South Atlantic,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,28,150011,Some college or Associate degree
636,not Male,Mountain,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,54,139934,Graduate degree
637,Male,Middle Atlantic,Yes,No,No,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,37,23841,Bachelor degree
638,not Male,East South Central,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,28,49900,Some college or Associate degree
639,Male,West South Central,No,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,58,50667,Bachelor degree
640,not Male,West North Central,Yes,No,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,55,177453,Bachelor degree
641,not Male,New England,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,33,79616,Graduate degree
642,Male,Middle Atlantic,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,44,140995,Graduate degree
643,Male,West North Central,No,No,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,23,43662,Some college or Associate degree
644,not Male,South Atlantic,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,27,151675,Graduate degree
645,Male,New England,Yes,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,21,64694,Graduate degree
646,Male,Pacific,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,20,162934,Bachelor degree
647,Male,Mountain,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,26,117517,Bachelor degree
648,not Male,East North Central,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Neutral,46,21154,High school degree
649,not Male,East South Central,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,51,40081,Bachelor degree
650,Male,Middle Atlantic,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,28,191902,Graduate degree
651,not Male,Pacific,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,36,42173,Some college or Associate degree
652,Male,Middle Atlantic,No,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,53,22900,Some college or Associate degree
653,not Male,East North Central,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,21,109256,Some college or Associate degree
654,not Male,East South Central,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,56,86084,Bachelor degree
655,not Male,West South Central,No,No,No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,51,186465,Graduate degree
656,not Male,Middle Atlantic,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,18,76875,Bachelor degree
657,Male,South Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,27,90085,Graduate degree
658,Male,South Atlantic,No,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,44,40700,Bachelor degree
659,not Male,South Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,58,138024,Some college or Associate degree
660,Male,West South Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,52,98641,Graduate degree
661,not Male,Mountain,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,21,20484,Some college or Associate degree
662,not Male,South Atlantic,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,26,95412,Bachelor degree
663,not Male,Mountain,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,55,50346,Some college or Associate degree
664,not Male,Middle Atlantic,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Neutral,27,87418,Graduate degree
665,Male,Pacific,No,Yes,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Neutral,26,100339,Bachelor degree
666,not Male,West North Central,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,19,148273,Some college or Associate degree
667,not Male,East South Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,43,71961,Graduate degree
668,Male,Mountain,Yes,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,53,45972,Graduate degree
669,not Male,Pacific,No,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,25,53636,Bachelor degree
670,not Male,Pacific,Yes,No,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,20,28792,Some college or Associate degree
671,not Male,West North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,28,67421,Some college or Associate degree
672,Male,West South Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,51,101448,Bachelor degree
673,not Male,Middle Atlantic,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,25,62947,Graduate degree
674,not Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,23,20684,Bachelor degree
675,Male,West South Central,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,54,60397,Some college or Associate degree
676,Male,South Atlantic,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,49,68901,Some college or Associate degree
677,not Male,West North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,26,93396,Bachelor degree
678,Male,Pacific,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,57,53062,Graduate degree
679,not Male,Pacific,No,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,56,74726,Bachelor degree
680,Male,Middle Atlantic,Yes,No,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,18,119397,Bachelor degree
681,not Male,Mountain,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,28,22164,Some college or Associate degree
682,not Male,Mountain,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,55,80010,Some college or Associate degree
683,not Male,South Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,27,103264,High school degree
684,not Male,New England,No,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Neutral,25,28532,Bachelor degree
685,Male,East North Central,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,50,87844,Bachelor degree
686,Male,East North Central,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,59,76613,High school degree
687,Male,Mountain,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,20,39421,Bachelor degree
688,not Male,East North Central,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,29,51953,Some college or Associate degree
689,Male,Middle Atlantic,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,59,174874,Bachelor degree
690,not Male,Middle Atlantic,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,20,177514,Graduate degree
691,Male,South Atlantic,No,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,52,86846,Some college or Associate degree
692,Male,East North Central,No,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,57,40832,Some college or Associate degree
