year,title,reason,test,budget,domestic,international,runtime,votes,metascore,imdb,rating,language,country,writer,director,genre,plot
2004,The Grudge,pass,pass,12.33,136.09,230.95,92,86544,49,5.8,PG-13,"English, Japanese","USA, Japan","Stephen Susco (screenplay), Takashi Shimizu (film ""Ju-On: The Grudge"")",Takashi Shimizu,"Horror, Mystery, Thriller","An American nurse living and working in Tokyo is exposed to a mysterious supernatural curse, one that locks a person in a powerful rage before claiming their life and spreading to another victim."
2004,The Incredibles,pass,pass,113.45,322.41,779.51,115,338764,90,8,PG,"English, French",USA,Brad Bird,Brad Bird,"Animation, Action, Adventure","A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world."
2004,The Princess Diaries 2: Royal Engagement,pass,pass,55.49,117.34,150.54,113,34986,43,5.6,G,English,USA,"Meg Cabot (characters), Gina Wendkos (story), Shonda Rhimes (story), Shonda Rhimes (screenplay)",Garry Marshall,"Comedy, Drama, Family","Now settled in Genovia, Princess Mia faces a new revelation: she's being primed for an arranged marriage to a English suitor."
2004,The Stepford Wives,pass,pass,123.32,73.34,118.66,93,42281,42,5.2,PG-13,English,USA,"Ira Levin (book), Paul Rudnick (screenplay)",Frank Oz,"Comedy, Sci-Fi, Thriller","What does it take to become a Stepford wife, a woman perfect beyond belief? Ask the Stepford husbands, who've created this high-tech terrifying little town, in a very modern comedy-thriller."
2004,The Village,pass,pass,88.4,140.83,317.72,108,156425,44,6.5,PG-13,English,USA,M. Night Shyamalan,M. Night Shyamalan,"Drama, Mystery, Thriller","The population of a small, isolated countryside village believe that their alliance with the mysterious creatures that inhabit the forest around them is coming to an end."
2004,Van Helsing,pass,pass,209.64,148.17,370.14,131,141489,35,5.9,PG-13,"English, Latin","USA, Czech Republic",Stephen Sommers,Stephen Sommers,"Action, Adventure, Fantasy",The notorious monster hunter is sent to Transylvania to stop Count Dracula who is using Dr. Frankenstein's research and a werewolf for some sinister purpose.
2004,Vera Drake,pass,pass,13.57,4.63,16.47,125,17487,83,7.7,R,English,"UK, France",Mike Leigh,Mike Leigh,"Crime, Drama",Abortionist Vera Drake finds her beliefs and practices clash with the mores of 1950s Britain--a conflict that leads to tragedy for her family.
2004,White Chicks,pass,pass,24.66,85.27,137.44,109,73072,41,5.3,PG-13,English,USA,"Keenen Ivory Wayans (screenplay), Shawn Wayans (screenplay), Marlon Wayans (screenplay), Andrew McElfresh (screenplay), Michael Anthony Snowden (screenplay), Xavier Cook (screenplay), Keenen Ivory Wayans (story), Shawn Wayans (story), Marlon Wayans (story)",Keenen Ivory Wayans,"Crime, Comedy",Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson Sisters from a kidnapping plot.
2004,Wimbledon,pass,pass,43.16,20.79,51.38,98,43240,59,6.3,PG-13,"English, Italian","UK, France, USA","Adam Brooks, Jennifer Flackett, Mark Levin",Richard Loncraine,"Comedy, Romance, Sport","A pro tennis player has lost his ambition and has fallen in rank to 119. Fortunately for him, he meets a young player on the women's circuit who helps him recapture his focus for Wimbledon."
2005,BloodRayne,dubious,fail,29.83,2.87,4.3,95,27882,18,2.8,R,English,"USA, Germany",Guinevere Turner,Uwe Boll,"Action, Adventure, Fantasy","In the Eighteenth Century, Rayne is the half-human half-vampire Dhampir and the lead attraction in a carnival's freak-show in Romania. When she escapes, she meets a fortuneteller that tells..."
2005,Capote,dubious,fail,8.35,34.3,59.56,114,76374,88,7.4,R,English,"USA, Canada","Dan Futterman (screenplay), Gerald Clarke (book)",Bennett Miller,"Biography, Crime, Drama","In 1959, Truman Capote learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood, Capote forms a relationship with one of the killers, Perry Smith, who is on death row."
2005,Corpse Bride,dubious,fail,35.79,63.66,136.93,77,136511,83,7.4,PG,English,"UK, USA","Tim Burton (characters), Carlos Grangel (characters), John August (screenplay), Caroline Thompson (screenplay), Pamela Pettler (screenplay)","Tim Burton, Mike Johnson","Animation, Fantasy, Musical","When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her."
2005,Saw II,dubious,fail,5.97,103.82,182.44,93,149046,40,6.6,R,English,"USA, Canada","Leigh Whannell, Darren Lynn Bousman",Darren Lynn Bousman,Horror,"Jigsaw locks a few unlucky people in a booby trapped shelter and they must find a way out before they inhale too much of a lethal nerve gas and die. But they must watch out, for the traps Jigsaw has set in the shelter lead to death also."
2005,The New World,dubious,fail,35.79,15.17,31.24,135,59280,69,6.7,PG-13,"English, Algonquin","USA, UK",Terrence Malick,Terrence Malick,"Biography, Drama, History","The story of the English exploration of Virginia, and of the changing world and loves of Pocahontas."
2005,Boogeyman,men,fail,23.86,55.78,80.16,89,22705,32,4.1,PG-13,English,"USA, New Zealand, Germany","Eric Kripke (story), Eric Kripke (screenplay), Juliet Snowden (screenplay), Stiles White (screenplay)",Stephen Kay,"Drama, Horror, Mystery",A young man tries to deal with the childhood terror that has affected his life.
2005,Cinderella Man,men,fail,104.99,73.55,129.49,144,122741,69,8,PG-13,English,USA,"Cliff Hollingsworth (screenplay), Akiva Goldsman (screenplay), Cliff Hollingsworth (story)",Ron Howard,"Biography, Drama, History","The story of James Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s."
2005,Hitch,men,fail,65.62,212.1,437.59,118,192054,58,6.7,PG-13,English,USA,Kevin Bisch,Andy Tennant,"Comedy, Romance","While helping his latest client woo the fine lady of his dreams, a professional ""date doctor"" finds that his game doesn't quite work on the gossip columnist with whom he's smitten."
2005,Lord of War,men,fail,50.11,28.81,74.14,122,205339,62,7.6,R,"English, Ukrainian, German, Spanish, Russian, French, Arabic, Turkish","France, USA, Germany",Andrew Niccol,Andrew Niccol,"Crime, Drama, Thriller",An arms dealer confronts the morality of his work as he is being chased by an Interpol agent.
2005,Shopgirl,men,fail,8.95,12.27,14.03,106,19464,62,6.5,R,"English, Japanese",USA,"Steve Martin (novel), Steve Martin (screenplay)",Anand Tucker,"Drama, Romance","A film adaptation of Steve Martin's novel about a complex love triangle between a bored salesgirl, a wealthy businessman and an aimless young man."
2005,The Jacket,men,fail,34,7.52,18.44,103,77119,44,7.1,R,English,"USA, Germany","Tom Bleecker (story), Marc Rocco (story), Massy Tadjedin (screenplay)",John Maybury,"Drama, Mystery, Sci-Fi","A Gulf war veteran is wrongly sent to a mental institution for insane criminals, where he becomes the object of a Doctor's experiments, and his life is completely affected by them."
2005,The Squid and the Whale,men,fail,1.79,8.8,13.35,81,50517,82,7.4,R,English,USA,Noah Baumbach,Noah Baumbach,"Comedy, Drama","Based on the true childhood experiences of Noah Baumbach and his brother, The Squid and the Whale tells the touching story of two young boys dealing with their parents' divorce in Brooklyn in the 1980s."
2005,Tristram Shandy: A Cock and Bull Story,men,fail,5.67,1.5,3.65,94,10233,80,6.8,R,English,UK,"Laurence Sterne (novel), Frank Cottrell Boyce (screenplay)",Michael Winterbottom,"Comedy, Drama","Director Michael Winterbottom (Northam) attempts to shoot the adaptation of Laurence Sterne's essentially unfilmable novel, ""The Life and Opinions of Tristram Shandy, Gentleman."""
2005,Batman Begins,notalk,fail,178.95,244.98,445.36,140,657342,70,8.3,PG-13,"English, Urdu, Mandarin","USA, UK","Bob Kane (characters), David S. Goyer (story), Christopher Nolan (screenplay), David S. Goyer (screenplay)",Christopher Nolan,"Action, Adventure, Crime","After training with his mentor, Batman begins his war on crime to free the crime-ridden Gotham City from corruption that the Scarecrow and the League of Shadows have cast upon it."
2005,Brick,notalk,fail,0.54,2.48,4.88,110,71652,72,7.5,R,English,USA,Rian Johnson,Rian Johnson,"Drama, Mystery",A teenage loner pushes his way into the underworld of a high school crime ring to investigate the disappearance of his ex-girlfriend.
2005,Brokeback Mountain,notalk,fail,16.58,99.07,207.7,134,211378,87,7.7,R,English,"USA, Canada","Annie Proulx (short story), Larry McMurtry (screenplay), Diana Ossana (screenplay)",Ang Lee,"Drama, Romance",The story of a forbidden and secretive relationship between two cowboys and their lives over the years.
2005,Constantine,notalk,fail,89.48,90.64,275.45,121,178234,50,6.9,R,"English, Filipino, Tagalog","USA, Germany","Jamie Delano (comic book ""Hellblazer""), Garth Ennis (comic book ""Hellblazer""), Kevin Brodbin (story), Kevin Brodbin (screenplay), Frank A. Cappello (screenplay)",Francis Lawrence,"Fantasy, Horror","Constantine tells the story of irreverent supernatural detective John Constantine, who has literally been to hell and back."
2005,Doom,notalk,fail,83.51,33.66,65.15,100,73508,34,5.2,R,"English, Japanese","UK, Czech Republic, Germany, USA","Dave Callaham (screenplay), Wesley Strick (screenplay), Dave Callaham (story)",Andrzej Bartkowiak,"Action, Adventure, Horror",Space Marines are sent to investigate strange events at a research facility on Mars but find themselves at the mercy of genetically enhanced killing machines.
2005,Fantastic Four,notalk,fail,104.39,184.56,394.56,106,199059,40,5.7,PG-13,English,"USA, Germany","Mark Frost, Michael France, Stan Lee (Marvel comic book), Jack Kirby (Marvel comic book)",Tim Story,"Action, Adventure, Fantasy","A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom"
2005,"Good Night, and Good Luck.",notalk,fail,8.35,37.58,67.51,93,74252,80,7.6,PG,English,"USA, France, UK, Japan","George Clooney, Grant Heslov",George Clooney,"Drama, History",Broadcast journalist Edward R. Murrow looks to bring down Senator Joseph McCarthy.
2005,Harry Potter and the Goblet of Fire,notalk,fail,178.95,346,1070.04,157,284052,81,7.6,PG-13,"English, French","UK, USA","Steve Kloves (screenplay), J.K. Rowling (novel)",Mike Newell,"Adventure, Family, Fantasy",Harry finds himself mysteriously selected as an under-aged competitor in a dangerous tournament between three schools of magic.
2005,Hostel,notalk,fail,5.73,56.46,98.12,94,112194,55,5.8,R,"English, Czech, German, Dutch, Slovak, Japanese, Icelandic, Russian, Spanish",USA,Eli Roth,Eli Roth,Horror,"Three backpackers head to a Slovak city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them."
2005,Kiss Kiss Bang Bang,notalk,fail,17.9,5.05,15.64,103,142953,72,7.7,R,English,USA,"Brett Halliday (novel), Shane Black (screen story), Shane Black (screenplay)",Shane Black,"Action, Comedy, Crime","A murder mystery brings together a private eye, a struggling actress, and a thief masquerading as an actor."
2005,Munich,notalk,fail,89.48,56.52,155.43,164,147609,74,7.7,R,"English, German, French, Hebrew, Arabic, Italian, Greek, Russian","USA, Canada, France","Tony Kushner (screenplay), Eric Roth (screenplay), George Jonas (book)",Steven Spielberg,"Drama, History, Thriller","Based on the true story of the Black September aftermath, about the five men chosen to eliminate the ones responsible for that fateful day."
2005,Oliver Twist,notalk,fail,77.55,2.47,31.82,130,20936,65,6.9,PG-13,English,"UK, Czech Republic, France, Italy","Charles Dickens (novel), Ronald Harwood (screenplay)",Roman Polanski,"Crime, Drama","An adaptation of the classic Dickens tale, where an orphan meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master."
2005,Robots,notalk,fail,95.44,152.95,311.02,91,74630,64,6.3,PG,"English, Italian",USA,"Ron Mita (story), Jim McClain (story), David Lindsay-Abaire (story), David Lindsay-Abaire (screenplay), Lowell Ganz (screenplay), Babaloo Mandel (screenplay)","Chris Wedge, Carlos Saldanha","Animation, Adventure, Comedy","In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management."
2005,Son of the Mask,notalk,fail,119.3,20.3,71.48,94,30525,20,2.1,PG,English,"USA, Germany",Lance Khazei,Lawrence Guterman,"Adventure, Comedy, Family","Tim Avery, an aspiring cartoonist, finds himself in a predicament when his dog stumbles upon the mask of Loki. Then after conceiving an infant son ""born of the mask"", he discovers just how looney child raising can be."
2005,Star Wars: Episode III - Revenge of the Sith,notalk,fail,137.2,453.68,1012.88,140,360711,68,7.7,PG-13,English,USA,George Lucas,George Lucas,"Action, Adventure, Fantasy","After three years of fighting in the Clone Wars, Anakin Skywalker falls prey to the Sith Lord's lies and makes an enemy of the Jedi and those he loves, concluding his journey to the Dark Side."
2005,Stealth,notalk,fail,164.64,38.32,91.17,121,40034,35,5,PG-13,"English, Korean, Russian, Spanish",USA,W.D. Richter,Rob L. Cohen,"Action, Adventure, Sci-Fi","Deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control before it initiates the next world war."
2005,Thank You for Smoking,notalk,fail,8.95,29.58,47.74,92,166818,71,7.7,R,English,USA,"Jason Reitman (screenplay), Christopher Buckley (novel)",Jason Reitman,"Comedy, Drama","Satirical comedy follows the machinations of Big Tobacco's chief spokesman, Nick Naylor, who spins on behalf of cigarettes while trying to remain a role model for his twelve-year-old son."
2005,The Adventures of Sharkboy and Lavagirl 3-D,notalk,fail,59.65,46.74,82.83,93,13370,38,3.4,PG,English,USA,"Robert Rodriguez, Marcel Rodriguez, Racer Rodriguez (story)",Robert Rodriguez,"Action, Adventure, Family",A boy dreams up shark-boy and lava-girl and the horror that lies within their planet.
2005,The Legend of Zorro,notalk,fail,95.44,54.37,168.78,129,53636,47,5.9,PG,"Spanish, English",USA,"Roberto Orci (screenplay), Alex Kurtzman (screenplay), Roberto Orci (story), Alex Kurtzman (story), Ted Elliott (story), Terry Rossio (story), Johnston McCulley (character)",Martin Campbell,"Action, Adventure, Western","Despite trying to keep his swashbuckling to a minimum, a threat to California's pending statehood causes the adventure-loving Alejandro de la Vega (Banderas) -- and his wife, Elena (Zeta-Jones) -- to take action."
2005,War of the Worlds,notalk,fail,157.48,279.5,723.98,116,253227,73,6.5,PG-13,English,USA,"Josh Friedman (screenplay), David Koepp (screenplay), H.G. Wells (novel)",Steven Spielberg,"Adventure, Sci-Fi, Thriller","As Earth is invaded by alien tripod fighting machines, one family fights for survival."
2005,White Noise,notalk,fail,11.93,66.92,109.87,101,36480,30,5.5,PG-13,English,"UK, Canada, USA",Niall Johnson,Geoffrey Sax,"Drama, Horror, Mystery","An architect's desire to speak with his wife from beyond the grave, becomes an obsession with supernatural repercussions."
2005,Conversations with Other Women,nowomen,fail,0.54,0.45,1.08,84,8446,62,7.1,R,English,"UK, USA",Gabrielle Zevin,Hans Canosa,"Comedy, Drama, Romance","When a man and woman flirt with each other at a wedding reception, the sexual tension seems spontaneous. As they break from the party to a hotel room, the flirtation turns into a night filled with passion and remorse."
2005,Jarhead,nowomen,fail,85.9,74.74,115.66,125,115773,58,7.1,R,"English, Spanish, Arabic, Latin","Germany, USA","William Broyles Jr. (screenplay), Anthony Swofford (book)",Sam Mendes,"Biography, Drama, War",Based on former Marine Anthony Swofford's best-selling 2003 book about his pre-Desert Storm experiences in Saudi Arabia and about his experiences fighting in Kuwait.
2005,King Kong,nowomen,fail,246.96,260.18,656.79,187,253640,81,7.3,PG-13,English,"New Zealand, USA, Germany","Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Merian C. Cooper (based on a story by), Edgar Wallace (based on a story by)",Peter Jackson,"Action, Adventure, Drama","In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with leading lady Ann Darrow."
2005,Kingdom of Heaven,nowomen,fail,131.23,56.55,261.1,144,164908,63,7.2,R,"English, Arabic, Latin, Italian","USA, UK, Spain, Germany, Morocco",William Monahan,Ridley Scott,"Action, Adventure, Drama","Balian of Ibelin travels to Jerusalem during the crusades of the 12th century, and there he finds himself as the defender of the city and its people."
2005,Madagascar,nowomen,fail,89.48,230.97,663.99,86,182984,57,6.9,PG,"English, Portuguese, Spanish, German, French",USA,"Mark Burton, Billy Frolick, Eric Darnell, Tom McGrath","Eric Darnell, Tom McGrath","Animation, Adventure, Comedy","Spoiled by their upbringing with no idea what wild life is really like, four animals from New York Central Zoo escape, unwittingly assisted by four absconding penguins, and find themselves in Madagascar, among a bunch of merry lemurs"
2005,Zathura: A Space Adventure,nowomen,fail,77.55,33.46,69.85,113,48064,67,6.1,PG,English,USA,"Chris Van Allsburg (book), David Koepp (screenplay), John Kamps (screenplay)",Jon Favreau,"Action, Adventure, Comedy",Two young brothers are drawn into an intragalactic adventure when their house is magically hurtled through space because of the board game they are playing.
2005,Assault on Precinct 13,pass,pass,35.79,23.91,43,109,58960,54,6.3,R,"English, Serbian","USA, France","John Carpenter (earlier film), James DeMonaco (screenplay)",Jean-François Richet,"Action, Drama, Crime","A police sergeant must rally the cops and prisoners together to protect themselves on New Year's Eve, just as corrupt policeman surround the station with the intent of killing all to keep their deception in the ranks."
2005,Beauty Shop,pass,pass,29.83,43.37,45.75,105,10338,53,5.4,PG-13,English,USA,"Elizabeth Hunter (story), Kate Lanier (screenplay), Norman Vance Jr. (screenplay)",Bille Woodruff,Comedy,Gina is a hairstylist who opens up a beauty shop full of employees and customers more interested in speaking their minds than getting a cut.
2005,Bewitched,pass,pass,95.44,75.53,156.48,102,50520,34,4.8,PG-13,"English, Spanish",USA,"Nora Ephron, Delia Ephron, Sol Saks (television series)",Nora Ephron,"Comedy, Fantasy, Romance","Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic show ""Bewitched""."
2005,Boynton Beach Club,pass,pass,3.46,3.73,3.73,105,709,61,6.5,R,English,USA,"Florence Seidelman (story), David Cramer (story), Susan Seidelman, Shelly Gitlow",Susan Seidelman,"Comedy, Romance","A romantic comedy about our amazing capacity to rebound and fall in love at any age. Lois, Harry, Marilyn ,Sandy and Jack live in an ""Active Adult"" community in Boynton Beach, Florida. ..."
2005,Charlie and the Chocolate Factory,pass,pass,178.95,246.31,566.05,115,231856,72,6.8,PG,English,"USA, UK","Roald Dahl (book), John August (screenplay)",Tim Burton,"Adventure, Comedy, Family","A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker."
2005,Coach Carter,pass,pass,53.69,80.25,91.47,136,69497,57,7.2,PG-13,English,"USA, Germany","Mark Schwahn, John Gatins",Thomas Carter,"Drama, Sport",Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.
2005,Cursed,pass,pass,41.76,23.02,29.96,97,22649,31,4.9,PG-13,English,"USA, Germany",Kevin Williamson,Wes Craven,"Comedy, Horror, Thriller","A werewolf loose in Los Angeles changes the lives of three young adults, who, after being mauled by the beast, learn they must kill their attacker if they hope to change their fate to avoid becoming werewolves too."
2005,Dark Water,pass,pass,71.58,30.39,59.02,105,38801,52,5.5,PG-13,English,USA,"Kôji Suzuki (novel), Hideo Nakata (film Honogurai mizu no soko kara), Takashige Ichise (film Honogurai mizu no soko kara), Rafael Yglesias (screenplay)",Walter Salles,"Drama, Horror, Thriller","A mother and daughter, still wounded from a bitter custody dispute, hole up in a run-down apartment building. Adding further drama to their plight, they are targeted by the ghost of former resident."
2005,Domino,pass,pass,59.65,12.13,27.4,127,50953,36,6,R,English,"France, USA, UK","Richard Kelly (screenplay), Richard Kelly (story), Steve Barancik (story)",Tony Scott,"Action, Biography, Crime",A recounting of Domino Harvey's life story. The daughter of actor Laurence Harvey turned away from her career as a Ford model to become a bounty hunter.
2005,Flightplan,pass,pass,65.62,107.02,269.28,98,102678,53,6.2,PG-13,"English, French, German, Arabic, Italian, Japanese",USA,"Peter A. Dowling, Billy Ray",Robert Schwentke,"Action, Drama, Mystery","A claustrophobic, Hitchcockian thriller. A bereaved woman and her daughter are flying home from Berlin to America. At 30,000 feet the child vanishes and nobody admits she was ever on that plane."
2005,Fun with Dick and Jane,pass,pass,167.02,131.89,240.75,90,89307,47,6.1,PG-13,"English, Spanish",USA,"Judd Apatow (screenplay), Nicholas Stoller (screenplay), Gerald Gaiser (story), Judd Apatow (story), Nicholas Stoller (story), Gerald Gaiser (novel), David Giler, Jerry Belson, Mordecai Richler",Dean Parisot,"Comedy, Crime","An update of the 1977 comedy, Dick and Jane are living the good life. That is until Dick (Jim Carrey) loses his job shortly after getting a promotion that convinced his wife Jane (Téa Leoni) to quit her job. The money is gone, and the house ends up in foreclosure. Dick decides to turn to a hilarious life of crime to pay the bills with his lovely wife by his side. Then together they decide it's ..."
2005,Hard Candy,pass,pass,1.13,1.22,9.86,104,108260,58,7.2,R,English,USA,Brian Nelson,David Slade,"Drama, Thriller","A teenage girl raids a man's home, suspecting he is a pedophile, in order to expose him."
2005,Herbie Fully Loaded,pass,pass,59.65,78.75,171.93,101,27994,47,4.7,G,English,USA,"Thomas Lennon (screenplay), Robert Ben Garant (screenplay), Alfred Gough (screenplay), Miles Millar (screenplay), Thomas Lennon (story), Robert Ben Garant (story), Mark Perez (story), Gordon Buford (characters)",Angela Robinson,"Adventure, Comedy, Family","Maggie Peyton, the new owner of Number 53 - the free-wheelin' Volkswagen bug with a mind of its own - puts the car through its paces on the road to becoming a NASCAR competitor."
2005,Hide and Seek,pass,pass,29.83,60.96,146.86,101,59698,35,5.9,R,English,"USA, Germany",Ari Schlossberg,John Polson,"Horror, Mystery, Thriller","As a widower tries to piece together his life in the wake of his wife's suicide, his daughter finds solace -- at first -- in her imaginary friend."
2005,Hoodwinked!,pass,pass,20.88,61.31,131.05,80,38078,45,6.6,PG,English,USA,"Cory Edwards (screenplay), Todd Edwards (screenplay), Tony Leech (screenplay), Todd Edwards (story), Cory Edwards (story)","Cory Edwards, Todd Edwards, Tony Leech","Animation, Comedy, Family","The candy recipes of the goody shops have been stolen by the Goody Bandit, and many animals are out of business. While the police are chasing the criminal, there is a mess at Granny's house..."
2005,Ice Princess,pass,pass,29.83,29.09,30.7,98,14593,55,6,G,English,"USA, Canada","Meg Cabot (story), Hadley Davis (story), Hadley Davis (screenplay)",Tim Fywell,"Comedy, Drama, Family","With the help of her coach, her parents, and the boy who drives the Zamboni machine, nothing can stop Casey (Trachtenberg) from realizing her dream to be a champion figure skater."
2005,Junebug,pass,pass,1.19,3.19,4.24,106,16898,80,7.1,R,English,USA,Angus MacLachlan,Phil Morrison,"Comedy, Drama","A dealer in ""outsider"" art travels from Chicago to North Carolina to meet her new in-laws, challenging the equilibrium of this middle class Southern home."
2005,Just Like Heaven,pass,pass,69.2,57.65,120.12,95,66506,47,6.8,PG-13,"English, Spanish, Mandarin",USA,"Peter Tolan (screenplay), Leslie Dixon (screenplay), Marc Lévy (novel)",Mark Waters,"Comedy, Fantasy, Romance",A lonely landscape architect (Ruffalo) falls for the spirit of beautiful woman (Witherspoon) who used to live in his new apartment.
2005,Man of the House,pass,pass,59.65,23.5,26.37,100,16876,35,5.4,PG-13,English,USA,"John J. McLaughlin (story), Scott Lobdell (story), Robert Ramsey (screenplay), Matthew Stone (screenplay), John J. McLaughlin (screenplay)",Stephen Herek,"Action, Comedy",A Texas Ranger must protect a group of cheerleaders who have witnessed a murder.
2005,Match Point,pass,pass,17.9,27.55,104.97,124,128232,72,7.7,R,English,"UK, Russia, Ireland, Luxembourg, USA",Woody Allen,Woody Allen,"Drama, Romance","At a turning point in his life, a former tennis pro falls for a femme-fatal type who happens to be dating his friend and soon-to-be brother-in-law."
2005,Me and You and Everyone We Know,pass,pass,2.39,4.64,10.05,91,27776,76,7.4,R,English,"USA, UK",Miranda July,Miranda July,"Comedy, Drama",A lonely shoe salesman and an eccentric performance artist struggle to connect in this unique take on contemporary life.
2005,Memoirs of a Geisha,pass,pass,101.41,68.02,192.69,145,100236,54,7.3,PG-13,"English, Japanese",USA,"Robin Swicord (screenplay), Arthur Golden (book)",Rob Marshall,"Drama, Romance",Nitta Sayuri reveals how she transcended her fishing-village roots and became one of Japan's most celebrated geisha.
2005,MirrorMask,pass,pass,4.77,1.03,1.15,101,17982,55,7,PG,English,"UK, USA","Neil Gaiman (story), Dave McKean (story), Neil Gaiman (teleplay)",Dave McKean,"Adventure, Drama, Family","In a fantasy world of opposing kingdoms, a 15-year old girl must find the fabled MirrorMask in order to save the kingdom and get home."
2005,North Country,pass,pass,35.79,21.86,30.09,126,27566,68,7.2,R,English,USA,"Michael Seitzman (screenplay), Clara Bingham (book), Laura Leedy (book)",Niki Caro,Drama,"A fictionalized account of the first major successful sexual harassment case in the United States -- Jenson vs. Eveleth Mines, where a woman who endured a range of abuse while working as a miner filed and won the landmark 1984 lawsuit."
2005,Proof,pass,pass,23.86,8.99,9.88,100,30457,64,6.8,PG-13,English,USA,"David Auburn (play), David Auburn (screenplay), Rebecca Miller (screenplay)",John Madden,"Drama, Mystery","The daughter of a brilliant but mentally disturbed mathematician, recently deceased, tries to come to grips with her possible inheritance: his insanity. Complicating matters are one of her father's ex-students who wants to search through his papers and her estranged sister who shows up to help settle his affairs."
2005,Red Eye,pass,pass,31.02,69.07,114,85,81048,71,6.5,PG-13,"English, Russian",USA,"Carl Ellsworth (screenplay), Carl Ellsworth (story), Dan Foos (story)",Wes Craven,"Action, Thriller","A woman is kidnapped by a stranger on a routine flight. Threatened by the potential murder of her father, she is pulled into a plot to assist her captor in offing a politician."
2005,Rent,pass,pass,47.72,34.69,37.78,135,35898,53,7.1,PG-13,English,USA,"Stephen Chbosky (screenplay), Jonathan Larson (book)",Chris Columbus,"Drama, Musical, Romance","This is the film version of the Pulitzer and Tony Award winning musical about Bohemians in the East Village of New York City struggling with life, love and AIDS, and the impacts they have on America."
2005,Serenity,pass,pass,46.53,30.44,45.95,119,196675,74,8,PG-13,"English, Mandarin",USA,Joss Whedon,Joss Whedon,"Action, Adventure, Sci-Fi",The crew of the ship Serenity tries to evade an assassin sent to recapture one of their number who is telepathic.
2005,Sin City,pass,pass,47.72,88.41,189.4,124,488883,74,8.2,R,English,USA,Frank Miller (graphic novels),"Frank Miller, Robert Rodriguez, Quentin Tarantino","Crime, Thriller","A film that explores the dark and miserable town, Basin City, and tells the story of three different people, all caught up in violent corruption."
2005,Sky High,pass,pass,71.58,76.28,97.38,100,48408,62,6.2,PG,"English, Cantonese",USA,"Paul Hernandez, Robert Schooley, Mark McCorkle",Mike Mitchell,"Adventure, Comedy, Family","Set in a world where superheroes are commonly known and accepted, young Will Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being."
2005,Strangers with Candy,pass,pass,2.39,2.47,2.48,97,6315,57,6,R,English,USA,"Stephen Colbert (series Strangers with Candy), Paul Dinello (series Strangers with Candy), Amy Sedaris (series Strangers with Candy), Mitch Rouse (series Strangers with Candy), Stephen Colbert, Paul Dinello, Amy Sedaris",Paul Dinello,Comedy,"A prequel to the critically acclaimed series featuring Jerri Blank, a 46 year-old ex-junkie, ex-con who returns to high school in a bid to start her life over."
2005,The Amityville Horror,pass,pass,22.07,77.83,130.25,90,62517,33,5.9,R,English,USA,"Scott Kosar (screenplay), Jay Anson (novel), Sandor Stern (earlier screenplay), George Lutz (material), Kathy Lutz (material)",Andrew Douglas,"Drama, Horror, Mystery",A family is terrorized by demonic forces after moving into a home that was the site of a grisly mass-murder.
2005,The Ballad of Jack and Rose,pass,pass,1.79,0.85,1.34,112,8124,59,6.8,R,English,USA,Rebecca Miller,Rebecca Miller,Drama,A father and daughter isolated on an island off the East Coast and living on a once thriving commune grapple with the limits of family and sexuality.
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",pass,pass,214.75,348.02,893.35,143,216450,75,6.9,PG,"English, German","USA, UK","Ann Peacock (screenplay), Andrew Adamson (screenplay), Christopher Markus (screenplay), Stephen McFeely (screenplay), C.S. Lewis (book)",Andrew Adamson,"Adventure, Family, Fantasy",Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.
2005,The Constant Gardener,pass,pass,30.42,40.06,96.73,129,92159,82,7.5,R,"English, Italian, Swahili, German","UK, Germany, USA, China","Jeffrey Caine (screenplay), John le Carré (based on the novel by)",Fernando Meirelles,"Drama, Mystery, Thriller","A widower is determined to get to the bottom of a potentially explosive secret involving his wife's murder, big business, and corporate corruption."
