Name,survived,sex,age,passengerClass
"Penasco y Castellana, Mrs. Vict",yes,female,Youth,1st
"Pengelly, Mr. Frederick William",no,male,Youth,2nd
"Perkin, Mr. John Henry",no,male,Adult,3rd
"Pernot, Mr. Rene",no,male,Child,2nd
"Perreault, Miss. Anne",yes,female,Adult,1st
"Persson, Mr. Ernst Ulrik",yes,male,Adult,3rd
"Peruschitz, Rev. Joseph Maria",no,male,Adult,2nd
"Peter, Master. Michael J",yes,male,Child,3rd
"Peter, Miss. Anna",yes,female,Child,3rd
"Peter, Mrs. Catherine (Catherin",yes,female,Child,3rd
"Peters, Miss. Katie",no,female,Child,3rd
"Petersen, Mr. Marius",no,male,Adult,3rd
"Petranec, Miss. Matilda",no,female,Adult,3rd
"Petroff, Mr. Nedelio",no,male,Youth,3rd
"Petroff, Mr. Pastcho (Pentcho",no,male,Child,3rd
"Petterson, Mr. Johan Emil",no,male,Adult,3rd
"Pettersson, Miss. Ellen Natalia",no,female,Youth,3rd
"Peuchen, Major. Arthur Godfrey",yes,male,Adult,1st
"Phillips, Miss. Alice Frances L",yes,female,Adult,2nd
"Phillips, Miss. Kate Florence (",yes,female,Youth,2nd
"Phillips, Mr. Escott Robert",no,male,Adult,2nd
"Pickard, Mr. Berk (Berk Trembis",yes,male,Adult,3rd
"Pinsky, Mrs. (Rosa)",yes,female,Adult,2nd
"Plotcharsky, Mr. Vasil",no,male,Child,3rd
"Pokrnic, Mr. Mate",no,male,Youth,3rd
"Pokrnic, Mr. Tome",no,male,Adult,3rd
"Ponesell, Mr. Martin",no,male,Adult,2nd
"Portaluppi, Mr. Emilio Ilario G",yes,male,Adult,2nd
"Porter, Mr. Walter Chamberlain",no,male,Adult,1st
"Potter, Mrs. Thomas Jr (Lily Al",yes,female,Adult,1st
"Pulbaum, Mr. Franz",no,male,Adult,2nd
"Quick, Miss. Phyllis May",yes,female,Child,2nd
"Quick, Miss. Winifred Vera",yes,female,Child,2nd
"Quick, Mrs. Frederick Charles (",yes,female,Adult,2nd
"Radeff, Mr. Alexander",no,male,Child,3rd
"Rasmussen, Mrs. (Lena Jacobsen",no,female,Child,3rd
"Razi, Mr. Raihed",no,male,Child,3rd
"Reed, Mr. James George",no,male,Child,3rd
"Reeves, Mr. David",no,male,Adult,2nd
"Rekic, Mr. Tido",no,male,Adult,3rd
"Renouf, Mr. Peter Henry",no,male,Adult,2nd
"Renouf, Mrs. Peter Henry (Lilli",yes,female,Adult,2nd
"Reuchlin, Jonkheer. John George",no,male,Adult,1st
"Reynaldo, Ms. Encarnacion",yes,female,Adult,2nd
"Reynolds, Mr. Harold J",no,male,Adult,3rd
"Rheims, Mr. George Alexander Lu",yes,male,Child,1st
"Rice, Master. Albert",no,male,Child,3rd
"Rice, Master. Arthur",no,male,Child,3rd
"Rice, Master. Eric",no,male,Child,3rd
"Rice, Master. Eugene",no,male,Child,3rd
"Rice, Master. George Hugh",no,male,Child,3rd
"Rice, Mrs. William (Margaret No",no,female,Adult,3rd
"Richard, Mr. Emile",no,male,Adult,2nd
"Richards, Master. George Sibley",yes,male,Child,2nd
"Richards, Master. William Rowe",yes,male,Child,2nd
"Richards, Mrs. Sidney (Emily Ho",yes,female,Adult,2nd
"Ridsdale, Miss. Lucy",yes,female,Adult,2nd
"Riihivouri, Miss. Susanna Juhan",no,female,Adult,3rd
"Ringhini, Mr. Sante",no,male,Adult,1st
"Rintamaki, Mr. Matti",no,male,Adult,3rd
"Riordan, Miss. Johanna Hannah",yes,female,Child,3rd
"Risien, Mr. Samuel Beard",no,male,Child,3rd
"Risien, Mrs. Samuel (Emma)",no,female,Child,3rd
"Robbins, Mr. Victor",no,male,Child,1st
"Robert, Mrs. Edward Scott (Elis",yes,female,Adult,1st
"Robins, Mr. Alexander A",no,male,Adult,3rd
"Robins, Mrs. Alexander A (Grace",no,female,Adult,3rd
"Roebling, Mr. Washington August",no,male,Adult,1st
"Rogers, Mr. Reginald Harry",no,male,Youth,2nd
"Rogers, Mr. William John",no,male,Child,3rd
"Romaine, Mr. Charles Hallace (",yes,male,Adult,1st
"Rommetvedt, Mr. Knud Paust",no,male,Child,3rd
"Rood, Mr. Hugh Roscoe",no,male,Child,1st
"Rosblom, Miss. Salli Helena",no,female,Child,3rd
"Rosblom, Mr. Viktor Richard",no,male,Youth,3rd
"Rosblom, Mrs. Viktor (Helena Wi",no,female,Adult,3rd
"Rosenbaum, Miss. Edith Louise",yes,female,Adult,1st
"Rosenshine, Mr. George (Mr Geo",no,male,Adult,1st
"Ross, Mr. John Hugo",no,male,Adult,1st
"Roth, Miss. Sarah A",yes,female,Child,3rd
"Rothes, the Countess. of (Lucy",yes,female,Adult,1st
"Rothschild, Mr. Martin",no,male,Adult,1st
"Rothschild, Mrs. Martin (Elizab",yes,female,Adult,1st
"Rouse, Mr. Richard Henry",no,male,Adult,3rd
"Rowe, Mr. Alfred G",no,male,Adult,1st
"Rugg, Miss. Emily",yes,female,Adult,2nd
"Rush, Mr. Alfred George John",no,male,Youth,3rd
"Ryan, Mr. Edward",yes,male,Child,3rd
"Ryan, Mr. Patrick",no,male,Child,3rd
"Ryerson, Master. John Borie",yes,male,Youth,1st
"Ryerson, Miss. Emily Borie",yes,female,Youth,1st
"Ryerson, Miss. Susan Parker Su",yes,female,Adult,1st
"Ryerson, Mr. Arthur Larned",no,male,Old,1st
"Ryerson, Mrs. Arthur Larned (Em",yes,female,Adult,1st
"Saad, Mr. Amin",no,male,Child,3rd
"Saad, Mr. Khalil",no,male,Adult,3rd
"Saade, Mr. Jean Nassr",no,male,Child,3rd
"Saalfeld, Mr. Adolphe",yes,male,Child,1st
"Sadlier, Mr. Matthew",no,male,Child,3rd
"Sadowitz, Mr. Harry",no,male,Child,3rd
"Saether, Mr. Simon Sivertsen",no,male,Adult,3rd
"Sage, Master. Thomas Henry",no,male,Child,3rd
"Sage, Master. William Henry",no,male,Youth,3rd
"Sage, Miss. Ada",no,female,Child,3rd
"Sage, Miss. Constance Gladys",no,female,Child,3rd
"Sage, Miss. Dorothy Edith Doll",no,female,Child,3rd
"Sage, Miss. Stella Anna",no,female,Child,3rd
"Sage, Mr. Douglas Bullen",no,male,Child,3rd
"Sage, Mr. Frederick",no,male,Child,3rd
"Sage, Mr. George John Jr",no,male,Child,3rd
"Sage, Mr. John George",no,male,Child,3rd
"Sage, Mrs. John (Annie Bullen)",no,female,Child,3rd
"Sagesser, Mlle. Emma",yes,female,Adult,1st
"Salander, Mr. Karl Johan",no,male,Adult,3rd
"Salkjelsvik, Miss. Anna Kristin",yes,female,Adult,3rd
"Salomon, Mr. Abraham L",yes,male,Child,1st
"Salonen, Mr. Johan Werner",no,male,Adult,3rd
"Samaan, Mr. Elias",no,male,Child,3rd
"Samaan, Mr. Hanna",no,male,Child,3rd
"Samaan, Mr. Youssef",no,male,Child,3rd
"Sandstrom, Miss. Beatrice Irene",yes,female,Child,3rd
"Sandstrom, Miss. Marguerite Rut",yes,female,Child,3rd
"Sandstrom, Mrs. Hjalmar (Agnes",yes,female,Adult,3rd
"Sap, Mr. Julius",yes,male,Adult,3rd
"Saundercock, Mr. William Henry",no,male,Youth,3rd
"Sawyer, Mr. Frederick Charles",no,male,Adult,3rd
"Scanlan, Mr. James",no,male,Child,3rd
"Schabert, Mrs. Paul (Emma Mock)",yes,female,Adult,1st
"Schmidt, Mr. August",no,male,Adult,2nd
"Sdycoff, Mr. Todor",no,male,Child,3rd
"Sedgwick, Mr. Charles Frederick",no,male,Adult,2nd
"Serepeca, Miss. Augusta",yes,female,Adult,1st
"Seward, Mr. Frederic Kimber",yes,male,Adult,1st
"Sharp, Mr. Percival James R",no,male,Adult,2nd
"Shaughnessy, Mr. Patrick",no,male,Child,3rd
"Sheerlinck, Mr. Jan Baptist",yes,male,Adult,3rd
"Shellard, Mr. Frederick William",no,male,Child,3rd
"Shelley, Mrs. William (Imanita",yes,female,Adult,2nd
"Shine, Miss. Ellen Natalia",yes,female,Child,3rd
"Shorney, Mr. Charles Joseph",no,male,Child,3rd
"Shutes, Miss. Elizabeth W",yes,female,Adult,1st
"Silven, Miss. Lyyli Karoliina",yes,female,Youth,2nd
"Silverthorne, Mr. Spencer Victo",yes,male,Adult,1st
"Silvey, Mr. William Baird",no,male,Adult,1st
"Silvey, Mrs. William Baird (Ali",yes,female,Adult,1st
"Simmons, Mr. John",no,male,Child,3rd
"Simonius-Blumer, Col. Oberst Al",yes,male,Adult,1st
"Sincock, Miss. Maude",yes,female,Youth,2nd
"Sinkkonen, Miss. Anna",yes,female,Adult,2nd
"Sirayanian, Mr. Orsen",no,male,Adult,3rd
"Sirota, Mr. Maurice",no,male,Child,3rd
"Sivic, Mr. Husein",no,male,Adult,3rd
"Sivola, Mr. Antti Wilhelm",no,male,Adult,3rd
"Sjoblom, Miss. Anna Sofia",yes,female,Youth,3rd
"Sjostedt, Mr. Ernst Adolf",no,male,Adult,2nd
"Skoog, Master. Harald",no,male,Child,3rd
"Skoog, Master. Karl Thorsten",no,male,Child,3rd
"Skoog, Miss. Mabel",no,female,Child,3rd
"Skoog, Miss. Margit Elizabeth",no,female,Child,3rd
"Skoog, Mr. Wilhelm",no,male,Adult,3rd
"Skoog, Mrs. William (Anna Bernh",no,female,Adult,3rd
"Slabenoff, Mr. Petco",no,male,Child,3rd
"Slayter, Miss. Hilda Mary",yes,female,Adult,2nd
"Slemen, Mr. Richard James",no,male,Adult,2nd
"Slocovski, Mr. Selman Francis",no,male,Child,3rd
"Sloper, Mr. William Thompson",yes,male,Adult,1st
"Smart, Mr. John Montgomery",no,male,Adult,1st
"Smiljanic, Mr. Mile",no,male,Child,3rd
"Smith, Miss. Marion Elsie",yes,female,Adult,2nd
"Smith, Mr. James Clinch",no,male,Adult,1st
"Smith, Mr. Lucien Philip",no,male,Adult,1st
"Smith, Mr. Richard William",no,male,Child,1st
"Smith, Mr. Thomas",no,male,Child,3rd
"Smith, Mrs. Lucien Philip (Mary",yes,female,Youth,1st
"Smyth, Miss. Julia",yes,female,Child,3rd
"Snyder, Mr. John Pillsbury",yes,male,Adult,1st
"Snyder, Mrs. John Pillsbury (Ne",yes,female,Adult,1st
"Sobey, Mr. Samuel James Hayden",no,male,Adult,2nd
"Soholt, Mr. Peter Andreas Lauri",no,male,Youth,3rd
"Somerton, Mr. Francis William",no,male,Adult,3rd
"Spector, Mr. Woolf",no,male,Child,3rd
"Spedden, Master. Robert Douglas",yes,male,Child,1st
"Spedden, Mr. Frederic Oakley",yes,male,Adult,1st
"Spedden, Mrs. Frederic Oakley (",yes,female,Adult,1st
"Spencer, Mr. William Augustus",no,male,Adult,1st
"Spencer, Mrs. William Augustus",yes,female,Child,1st
"Spinner, Mr. Henry John",no,male,Adult,3rd
"Stahelin-Maeglin, Dr. Max",yes,male,Adult,1st
"Staneff, Mr. Ivan",no,male,Child,3rd
"Stankovic, Mr. Ivan",no,male,Adult,3rd
"Stanley, Miss. Amy Zillah Elsie",yes,female,Adult,3rd
"Stanley, Mr. Edward Roland",no,male,Adult,3rd
"Stanton, Mr. Samuel Ward",no,male,Adult,2nd
"Stead, Mr. William Thomas",no,male,Old,1st
"Stengel, Mr. Charles Emil Henry",yes,male,Adult,1st
"Stengel, Mrs. Charles Emil Henr",yes,female,Adult,1st
"Stephenson, Mrs. Walter Bertram",yes,female,Adult,1st
"Stewart, Mr. Albert A",no,male,Child,1st
"Stokes, Mr. Philip Joseph",no,male,Adult,2nd
"Stone, Mrs. George Nelson (Mart",yes,female,Old,1st
"Storey, Mr. Thomas",no,male,Old,3rd
"Stoytcheff, Mr. Ilia",no,male,Youth,3rd
"Strandberg, Miss. Ida Sofia",no,female,Adult,3rd
"Stranden, Mr. Juho",yes,male,Adult,3rd
"Straus, Mr. Isidor",no,male,Old,1st
"Straus, Mrs. Isidor (Rosalie Id",no,female,Old,1st
"Strilic, Mr. Ivan",no,male,Adult,3rd
"Strom, Miss. Telma Matilda",no,female,Child,3rd
"Strom, Mrs. Wilhelm (Elna Matil",no,female,Adult,3rd
"Sunderland, Mr. Victor Francis",yes,male,Youth,3rd
"Sundman, Mr. Johan Julian",yes,male,Adult,3rd
"Sutehall, Mr. Henry Jr",no,male,Adult,3rd
"Sutton, Mr. Frederick",no,male,Old,1st
"Svensson, Mr. Johan",no,male,Old,3rd
"Svensson, Mr. Johan Cervin",yes,male,Youth,3rd
"Svensson, Mr. Olof",no,male,Adult,3rd
"Swane, Mr. George",no,male,Youth,2nd
"Sweet, Mr. George Frederick",no,male,Youth,2nd
"Swift, Mrs. Frederick Joel (Mar",yes,female,Adult,1st
"Taussig, Miss. Ruth",yes,female,Youth,1st
"Taussig, Mr. Emil",no,male,Adult,1st
"Taussig, Mrs. Emil (Tillie Mand",yes,female,Adult,1st
"Taylor, Mr. Elmer Zebley",yes,male,Adult,1st
"Taylor, Mrs. Elmer Zebley (Juli",yes,female,Child,1st
"Tenglin, Mr. Gunnar Isidor",yes,male,Adult,3rd
"Thayer, Mr. John Borland",no,male,Adult,1st
"Thayer, Mr. John Borland Jr",yes,male,Youth,1st
"Thayer, Mrs. John Borland (Mari",yes,female,Adult,1st
"Theobald, Mr. Thomas Leonard",no,male,Adult,3rd
"Thomas, Master. Assad Alexander",yes,male,Child,3rd
"Thomas, Mr. Charles P",no,male,Child,3rd
"Thomas, Mr. John",no,male,Child,3rd
"Thomas, Mr. Tannous",no,male,Child,3rd
"Thomas, Mrs. Alexander (Thamine",yes,female,Youth,3rd
"Thomson, Mr. Alexander Morrison",no,male,Child,3rd
"Thorne, Mrs. Gertrude Maybelle",yes,female,Child,1st
"Thorneycroft, Mr. Percival",no,male,Child,3rd
"Thorneycroft, Mrs. Percival (Fl",yes,female,Child,3rd
"Tikkanen, Mr. Juho",no,male,Adult,3rd
"Tobin, Mr. Roger",no,male,Child,3rd
"Todoroff, Mr. Lalio",no,male,Child,3rd
"Tomlin, Mr. Ernest Portage",no,male,Adult,3rd
"Toomey, Miss. Ellen",yes,female,Adult,2nd
"Torber, Mr. Ernst William",no,male,Adult,3rd
"Torfa, Mr. Assad",no,male,Child,3rd
"Tornquist, Mr. William Henry",yes,male,Adult,3rd
"Toufik, Mr. Nakli",no,male,Child,3rd
"Touma, Master. Georges Youssef",yes,male,Child,3rd
"Touma, Miss. Maria Youssef",yes,female,Child,3rd
"Touma, Mrs. Darwis (Hanne Youss",yes,female,Adult,3rd
"Troupiansky, Mr. Moses Aaron",no,male,Adult,2nd
"Trout, Mrs. William H (Jessie L",yes,female,Adult,2nd
"Troutt, Miss. Edwina Celia Win",yes,female,Adult,2nd
"Tucker, Mr. Gilbert Milligan Jr",yes,male,Adult,1st
"Turcin, Mr. Stjepan",no,male,Adult,3rd
"Turja, Miss. Anna Sofia",yes,female,Youth,3rd
"Turkula, Mrs. (Hedwig)",yes,female,Old,3rd
"Turpin, Mr. William John Robert",no,male,Adult,2nd
"Turpin, Mrs. William John Rober",no,female,Adult,2nd
"Uruchurtu, Don. Manuel E",no,male,Adult,1st
"van Billiard, Master. James Wil",no,male,Child,3rd
"van Billiard, Master. Walter Jo",no,male,Child,3rd
"van Billiard, Mr. Austin Blyler",no,male,Adult,3rd
"Van der hoef, Mr. Wyckoff",no,male,Old,1st
"Van Impe, Miss. Catharina",no,female,Child,3rd
"Van Impe, Mr. Jean Baptiste",no,male,Adult,3rd
"Van Impe, Mrs. Jean Baptiste (R",no,female,Adult,3rd
"van Melkebeke, Mr. Philemon",no,male,Child,3rd
"Vande Velde, Mr. Johannes Josep",no,male,Adult,3rd
"Vande Walle, Mr. Nestor Cyriel",no,male,Adult,3rd
"Vanden Steen, Mr. Leo Peter",no,male,Adult,3rd
"Vander Cruyssen, Mr. Victor",no,male,Adult,3rd
"Vander Planke, Miss. Augusta Ma",no,female,Youth,3rd
"Vander Planke, Mr. Julius",no,male,Adult,3rd
"Vander Planke, Mr. Leo Edmondus",no,male,Youth,3rd
"Vander Planke, Mrs. Julius (Eme",no,female,Adult,3rd
"Vartanian, Mr. David",yes,male,Adult,3rd
"Veal, Mr. James",no,male,Adult,2nd
"Vendel, Mr. Olof Edvin",no,male,Youth,3rd
"Vestrom, Miss. Hulda Amanda Ado",no,female,Youth,3rd
"Vovk, Mr. Janko",no,male,Adult,3rd
"Waelens, Mr. Achille",no,male,Adult,3rd
"Walcroft, Miss. Nellie",yes,female,Adult,2nd
"Walker, Mr. William Anderson",no,male,Adult,1st
"Ward, Miss. Anna",yes,female,Adult,1st
"Ware, Mr. Frederick",no,male,Child,3rd
"Ware, Mr. John James",no,male,Adult,2nd
"Ware, Mr. William Jeffery",no,male,Adult,2nd
"Ware, Mrs. John James (Florence",yes,female,Adult,2nd
"Warren, Mr. Charles William",no,male,Child,3rd
"Warren, Mr. Frank Manley",no,male,Old,1st
"Warren, Mrs. Frank Manley (Anna",yes,female,Old,1st
"Watson, Mr. Ennis Hastings",no,male,Child,2nd
"Watt, Miss. Bertha J",yes,female,Youth,2nd
"Watt, Mrs. James (Elizabeth Be",yes,female,Adult,2nd
"Webber, Miss. Susan",yes,female,Adult,2nd
"Webber, Mr. James",no,male,Child,3rd
"Weir, Col. John",no,male,Old,1st
"Weisz, Mr. Leopold",no,male,Adult,2nd
"Weisz, Mrs. Leopold (Mathilde F",yes,female,Adult,2nd
"Wells, Master. Ralph Lester",yes,male,Child,2nd
"Wells, Miss. Joan",yes,female,Child,2nd
"Wells, Mrs. Arthur Henry (Addi",yes,female,Adult,2nd
"Wenzel, Mr. Linhart",no,male,Adult,3rd
"West, Miss. Barbara J",yes,female,Child,2nd
"West, Miss. Constance Mirium",yes,female,Child,2nd
"West, Mr. Edwy Arthur",no,male,Adult,2nd
"West, Mrs. Edwy Arthur (Ada Mar",yes,female,Adult,2nd
"Whabee, Mrs. George Joseph (Sha",yes,female,Adult,3rd
"Wheadon, Mr. Edward H",no,male,Old,2nd
"Wheeler, Mr. Edwin Frederick",no,male,Child,2nd
"White, Mr. Percival Wayland",no,male,Adult,1st
"White, Mr. Richard Frasar",no,male,Adult,1st
"White, Mrs. John Stuart (Ella H",yes,female,Adult,1st
"Wick, Miss. Mary Natalie",yes,female,Adult,1st
"Wick, Mr. George Dennick",no,male,Adult,1st
"Wick, Mrs. George Dennick (Mary",yes,female,Adult,1st
"Widegren, Mr. Carl/Charles Pete",no,male,Adult,3rd
"Widener, Mr. George Dunton",no,male,Adult,1st
"Widener, Mr. Harry Elkins",no,male,Adult,1st
"Widener, Mrs. George Dunton (El",yes,female,Adult,1st
"Wiklund, Mr. Jakob Alfred",no,male,Youth,3rd
"Wiklund, Mr. Karl Johan",no,male,Adult,3rd
"Wilhelms, Mr. Charles",yes,male,Adult,2nd
"Wilkes, Mrs. James (Ellen Needs",yes,female,Adult,3rd
"Willard, Miss. Constance",yes,female,Adult,1st
"Willer, Mr. Aaron (Abi Weller",no,male,Child,3rd
"Willey, Mr. Edward",no,male,Child,3rd
"Williams-Lambert, Mr. Fletcher",no,male,Child,1st
"Williams, Mr. Charles Duane",no,male,Adult,1st
"Williams, Mr. Charles Eugene",yes,male,Child,2nd
"Williams, Mr. Howard Hugh Harr",no,male,Child,3rd
"Williams, Mr. Leslie",no,male,Adult,3rd
"Williams, Mr. Richard Norris II",yes,male,Adult,1st
"Wilson, Miss. Helen Alice",yes,female,Adult,1st
"Windelov, Mr. Einar",no,male,Adult,3rd
"Wirz, Mr. Albert",no,male,Adult,3rd
"Wiseman, Mr. Phillippe",no,male,Child,3rd
"Wittevrongel, Mr. Camille",no,male,Adult,3rd
"Woolner, Mr. Hugh",yes,male,Child,1st
"Wright, Miss. Marion",yes,female,Adult,2nd
"Wright, Mr. George",no,male,Old,1st
"Yasbeck, Mr. Antoni",no,male,Adult,3rd
"Yasbeck, Mrs. Antoni (Selini Al",yes,female,Youth,3rd
"Young, Miss. Marie Grice",yes,female,Adult,1st
"Youseff, Mr. Gerious",no,male,Adult,3rd
"Yousif, Mr. Wazli",no,male,Child,3rd
"Yousseff, Mr. Gerious",no,male,Child,3rd
"Yrois, Miss. Henriette (Mrs Ha",no,female,Adult,2nd
"Zabour, Miss. Hileni",no,female,Youth,3rd
"Zabour, Miss. Thamine",no,female,Child,3rd
"Zakarian, Mr. Mapriededer",no,male,Adult,3rd
"Zakarian, Mr. Ortin",no,male,Adult,3rd
"Zimmerman, Mr. Leo",no,male,Adult,3rd
